"","site_id","tran_id","date","col_point","1_dist","2_dist","3_dist","4_dist"
"351","turkey_farm","TF100","4/15/2025",5,171,215,256,179
"352","turkey_farm","TF006","4/15/2025",1,223,134,99,196
"353","turkey_farm","TF006","4/15/2025",2,283,95,197,391
"354","turkey_farm","TF006","4/15/2025",3,97,772,169,62
"355","turkey_farm","TF006","4/15/2025",4,123,86,84,106
"356","turkey_farm","TF006","4/15/2025",5,254,149,109,79
"357","paradise_canyon","PC067","4/16/2025",1,261,226,420,301
"358","paradise_canyon","PC067","4/16/2025",2,119,152,304,140
"359","paradise_canyon","PC067","4/16/2025",3,165,209,198,67
"360","paradise_canyon","PC067","4/16/2025",4,100,106,147,143
"361","paradise_canyon","PC067","4/16/2025",5,139,173,54,116
"362","paradise_canyon","PC133","4/16/2025",1,194,363,237,261
"363","paradise_canyon","PC133","4/16/2025",2,78,92,117,103
"364","paradise_canyon","PC133","4/16/2025",3,505,267,505,505
"365","paradise_canyon","PC133","4/16/2025",4,124,194,86,100
"366","paradise_canyon","PC133","4/16/2025",5,244,371,182,181
"367","paradise_canyon","PC106","4/16/2025",1,75,85,118,99
"368","paradise_canyon","PC106","4/16/2025",2,206,231,505,185
"369","paradise_canyon","PC106","4/16/2025",3,210,103,127,99
"370","paradise_canyon","PC106","4/16/2025",4,189,170,165,162
"371","paradise_canyon","PC106","4/16/2025",5,206,98,505,505
"372","paradise_canyon","PC014","4/16/2025",1,505,505,505,305
"373","paradise_canyon","PC014","4/16/2025",2,206,208,101,123
"374","paradise_canyon","PC014","4/16/2025",3,221,438,442,132
"375","paradise_canyon","PC014","4/16/2025",4,41,41,61,106
"376","paradise_canyon","PC014","4/16/2025",5,187,102,309,281
"377","paradise_canyon","PC097","4/16/2025",1,65,236,81,149
"378","paradise_canyon","PC097","4/16/2025",2,28,59,39,49
"379","paradise_canyon","PC097","4/16/2025",3,156,149,85,248
"380","paradise_canyon","PC097","4/16/2025",4,155,42,53,94
"381","paradise_canyon","PC097","4/16/2025",5,91,289,201,338
"382","paradise_canyon","PC072","4/16/2025",1,315,117,505,229
"383","paradise_canyon","PC072","4/16/2025",2,505,505,505,131
"384","paradise_canyon","PC072","4/16/2025",3,127,356,310,219
"385","paradise_canyon","PC072","4/16/2025",4,41,143,71,17
"386","paradise_canyon","PC072","4/16/2025",5,183,195,166,81
"387","sun_river","SR080","4/17/2025",1,505,479,338,462
